t_out_sec,t_out_nanosec,t_imu_sec,t_imu_nanosec,t_cmd_sec,t_cmd_nanosec,imu_vx,imu_vy,imu_vz,cmd_vx,cmd_vy,cmd_vz
1761030668,997117061,1761030668,995787764,1761030668,997117061,0.0,0.0,0.0,0.0,0.0,23.366243853000014
1761030669,43383749,1761030669,28047587,1761030669,43383749,0.0,0.0,0.0,0.0,0.0,23.545777728000076
1761030669,82052689,1761030669,71579032,1761030669,82052689,0.0,0.0,0.0,0.0,0.0,23.59228673100006
1761030669,121843853,1761030669,106766155,1761030669,121843853,0.0,0.0,0.0,0.0,0.0,23.63077333800004
1761030669,157635383,1761030669,145827447,1761030669,157635383,0.0,0.0,0.0,0.0,0.0,23.670710520000057
1761030669,206004110,1761030669,188463002,1761030669,206004110,0.0,0.0,0.0,0.0,0.0,23.706297902000074
1761030669,239891916,1761030669,224264514,1761030669,239891916,0.0,0.0,0.0,0.0,0.0,23.754645351000022
1761030669,273591260,1761030669,258879933,1761030669,273591260,0.0,0.0,0.0,0.0,0.0,23.788454176000073
1761030669,325306675,1761030669,313833720,1761030669,325306675,0.0,0.0,0.0,0.0,0.0,23.822174149000034
1761030669,365378931,1761030669,358333518,1761030669,365378931,0.0,0.0,0.0,0.0,0.0,23.873945268000057
1761030669,404403946,1761030669,388203969,1761030669,404403946,0.0,0.0,0.0,0.0,0.0,23.914107839000053
1761030669,441138829,1761030669,426902724,1761030669,441138829,0.0,0.0,0.0,0.0,0.0,23.953004280000073
1761030669,487406702,1761030669,473526820,1761030669,487406702,0.0,0.0,0.0,0.0,0.0,23.989836774000082
1761030669,520770471,1761030669,506825700,1761030669,520770471,0.0,0.0,0.0,0.0,0.0,24.03618266500007
1761030669,561082357,1761030669,546300622,1761030669,561082357,0.0,0.0,0.0,0.0,0.0,24.069423138000047
1761030669,605016265,1761030669,590576845,1761030669,605016265,0.0,0.0,0.0,0.0,0.0,24.10997369100005
1761030669,642359760,1761030669,627950896,1761030669,642359760,0.0,0.0,0.0,0.0,0.0,24.153709025000012
1761030669,687809669,1761030669,671469748,1761030669,687809669,0.0,0.0,0.0,0.0,0.0,24.191026520000037
1761030669,723159051,1761030669,706559185,1761030669,723159051,0.0,0.0,0.0,0.0,0.0,24.236437651000074
1761030669,760714361,1761030669,744383551,1761030669,760714361,0.0,0.0,0.0,0.0,0.0,24.271770126000092
1761030669,805122843,1761030669,787834699,1761030669,805122843,0.0,0.0,0.0,0.0,0.0,24.30926656500003
1761030669,839254391,1761030669,823451526,1761030669,839254391,0.0,0.0,0.0,0.0,0.0,24.353768159000083
1761030669,875143736,1761030669,860995521,1761030669,875143736,0.0,0.0,0.0,0.0,0.0,24.387890855000023
1761030669,923664463,1761030669,906746486,1761030669,923664463,0.0,0.0,0.0,0.0,0.0,24.423734459000002
1761030669,954921527,1761030669,939225421,1761030669,954921527,0.0,0.0,0.0,0.0,0.0,24.47230137100007
1761030669,989425723,1761030669,973960450,1761030669,989425723,0.0,0.0,0.0,0.0,0.0,24.503566916000068
1761030670,28296182,1761030670,11807760,1761030670,28296182,0.0,0.0,0.0,0.0,0.0,24.538057853000055
1761030670,73219017,1761030670,55799946,1761030670,73219017,0.0,0.0,0.0,0.0,0.0,24.57698933100005
1761030670,109566214,1761030670,93806386,1761030670,109566214,0.0,0.0,0.0,0.0,0.0,24.62200051700006
1761030670,142959743,1761030670,128464156,1761030670,142959743,0.0,0.0,0.0,0.0,0.0,24.658245733000058
1761030670,191534858,1761030670,175878956,1761030670,191534858,0.0,0.0,0.0,0.0,0.0,24.692060188000028
1761030670,227330759,1761030670,212708988,1761030670,227330759,0.0,0.0,0.0,0.0,0.0,24.74024582200002
1761030670,273569373,1761030670,254581320,1761030670,273569373,0.0,0.0,0.0,0.0,0.0,24.77603964900004
1761030670,304435584,1761030670,290230183,1761030670,304435584,0.0,0.0,0.0,0.0,0.0,24.82223181800009
1761030670,343131877,1761030670,329382439,1761030670,343131877,0.0,0.0,0.0,0.0,0.0,24.853009048000104
1761030670,391944141,1761030670,382894077,1761030670,391944141,0.0,0.0,0.0,0.0,0.0,24.89176671100006
1761030670,426758615,1761030670,412976399,1761030670,426758615,0.0,0.0,0.0,0.0,0.0,24.941381660000047
1761030670,467058594,1761030670,460113810,1761030670,467058594,0.0,0.0,0.0,0.0,0.0,24.97561496700007
1761030670,508817833,1761030670,491728855,1761030670,508817833,0.0,0.0,0.0,0.0,0.0,25.015961575999995
1761030670,570803978,1761030670,570618349,1761030670,570803978,0.0,0.0,0.0,0.0,0.0,25.057512019
1761030670,643184633,1761030670,627488268,1761030670,643184633,0.0,0.0,0.0,0.0,0.0,25.119433923000088
1761030670,691237174,1761030670,691234063,1761030670,691237174,0.0,0.0,0.0,0.0,0.0,25.192041522000068
1761030670,743500681,1761030670,727061741,1761030670,743500681,0.0,0.0,0.0,0.0,0.0,25.240107397000088
1761030670,779646157,1761030670,779406675,1761030670,779646157,0.0,0.0,0.0,0.0,0.0,25.292702553000026
1761030670,858600391,1761030670,858451317,1761030670,858600391,0.0,0.0,0.0,0.0,0.0,25.328583972000047
1761030670,911815436,1761030670,911835732,1761030670,911815436,0.0,0.0,0.0,0.0,0.0,25.407466725000063
1761030671,33521096,1761030671,33326744,1761030671,33521096,0.0,0.0,0.0,0.0,0.0,25.460587974000077
1761030671,87995457,1761030671,87799957,1761030671,87995457,0.0,0.0,0.0,0.0,0.0,25.582200355000055
1761030671,144306912,1761030671,144217079,1761030671,144306912,0.0,0.0,0.0,0.0,0.0,25.636645643000065
1761030671,193757418,1761030671,193789566,1761030671,193757418,0.0,0.0,0.0,0.0,0.0,25.693053580000083
1761030671,392890569,1761030671,392027939,1761030671,392890569,0.0,0.0,0.0,0.0,0.0,25.894007029000022
1761030671,444010742,1761030671,444128205,1761030671,444010742,0.0,0.0,0.0,0.0,0.0,25.94154547700009
1761030671,676908867,1761030671,674200031,1761030671,676908867,0.0,0.0,0.0,0.0,0.0,26.179354087000092
1761030671,761939477,1761030671,762017977,1761030671,761939477,0.0,0.0,0.0,0.0,0.0,26.225523905000045
1761030671,825118253,1761030671,824360752,1761030671,825118253,0.0,0.0,0.0,0.0,0.0,26.310608218000084
1761030671,911029659,1761030671,910935307,1761030671,911029659,0.0,0.0,0.0,0.0,0.0,26.37380740200001
1761030671,977346346,1761030671,977361586,1761030671,977346346,0.0,0.0,0.0,0.0,0.0,26.459728659999996
1761030672,58183248,1761030672,45265996,1761030672,58183248,0.0,0.0,0.0,0.0,0.0,26.526048698000068
1761030672,140958300,1761030672,166538581,1761030672,140958300,0.0,0.0,0.0,0.0,0.0,26.606795766999994
1761030672,242480405,1761030672,242497276,1761030672,242480405,0.0,0.0,0.0,0.0,0.0,26.737786174999997
